time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.Latitude,.Longitude,.Altitude,.Easting,.Northing,.Zone_nos,.Zone_let
2022/02/08/11:49:47.497458,1,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:49:48.506988,2,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:49:49.500263,3,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:49:50.481649,4,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:49:51.503795,5,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:49:52.499942,6,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:49:53.513978,7,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:49:54.498493,8,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:49:55.498001,9,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:49:56.500371,10,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:49:57.498292,11,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:49:58.512164,12,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:49:59.495482,13,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:00.495793,14,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:01.495047,15,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:02.496294,16,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:03.504645,17,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:04.498585,18,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:05.479778,19,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:06.482810,20,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:07.484575,21,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:08.498599,22,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
